"112","100","0:00:24","0:08:47","Death and the Blindness of the Will in Life","Tod und Blindheit des Willens im Leben"
"112","101","0:08:48","0:14:29","What is Patriotism?","Was ist Patriotismus?"
"112","102","0:14:30","0:24:11","Opera and Realism","Oper und Realismus"
"108","103","0:03:05","0:06:21","Gorki and Lenin","Gorki und Lenin"
"108","104","0:06:22","0:12:25","Ernst Jünger and Hitler","Ernst Jünger und Hitler"
"108","105","0:12:36","0:21:11","Brecht arrives in the Soviet Zone","Brecht kommt in die Sowjetische Besatzungszone"
"108","106","0:21:12","0:25:22","Müller Plans a Play Against the Acceleration of Time","Müller plant ein Stück gegen die Beschleuigung der Zeit"
"109","107","0:00:00","0:20:52","Hamlet and German Reunification","Hamlet und die deutsche Wiedervereinigung"
"109","108","0:20:53","0:38:22","Politics, Art, and Mass Movements","Politik, Kunst und Massenbewegungen"
"109","109","0:38:23","0:41:53","Film Citations: Excerpts from a Film by the Berlin Documentary Filmmaker Gregor About the Demonstration on the Alexanderplatz and the Rehearsals for Hamletmachine (or Hamlet?)","Filmzitate: Ausschnitte aus dem Film des Berliner Dokumentarfilmers Gregor über die Kundgebung auf dem Alexanderplatz sowie aus Proben zu Hamletmaschine (oder Hamlet?)"
"109","110","0:41:54","0:45:17","Revolution: Acceleration or Deceleration?","Revolution – Beschleunigung oder Verlangsamung?"
"114","111","0:00","0:3:10","Montage Sequence: Winter Warfare","Montagesequenz: Winterkrieg "
"114","112","0:3:10","0:7:00","The Fascination of the Tank","Faszination Panzer"
"114","113","0:7:00","0:9:21","The Definition of the Tank; The Figure of Coriolan as a Tank","Definition des Panzers, Die Figur des Coriolan als Panzer"
"114","114","0:9:21","0:16:39","Montage Sequence: Tanks","Montagesequenz: Panzer"
"111","115","0:01:24","0:03:58","Metaphor As a Mode of Expression","Metaphorik als Redeweise dramatischer Zeiten"
"111","116","0:03:59","0:17:12","The Road to Volokolamsk I-V","Wolokolamsker Chaussee I - V: Literatur, die Rechtsfragen stellt"
"111","117","0:17:13","0:24:15","Metaphors As Simultaneity","Metaphern als Gleichzeitigkeit verschiedener Zeiten"
"110","118","0:01:13","0:10:39","Ovid","Ovid"
"102","121","0:00:26","0:03:55","Che Guevara and Protest","Che Guevara und der Protest"
"102","122","0:03:56","0:07:23","Müller on Fidel Castro and His Republic","Müller über Fidel Castro und seine Republik"
"102","123","0:07:24","0:11:11","Anti-Bureaucratic Revolutionaries","Antibürokratische Revolutionäre"
"102","124","0:11:11","0:15:12","Heiner Müller Compares Fidel Castro to the German Rebel Max Hölz","Heiner Müller vergleicht Fidel Castro mit dem deutschen Rebellen Max Hölz"
"103","125","00:00:32","00:04:27","Philology and Greed in Art ","Philologie und die Gier in der Kunst"
"103","126","00:04:28","00:08:48","Nero and Seneca ","Nero und Seneca"
"103","127","00:08:49","00:12:44","Literary Reception of the Death of Seneca ","Literarische Rezeption des Todes des Seneca"
"103","128","00:12:45","00:15:49","Description of the Suicide of Seneca, Heiner Müller Reads ""The Death of Seneca""","Beschreibung des Selbstmords Senecas, Heiner Müller liest ""Der Tod des Seneca"""
"103","129","00:15:50","00:24:09","Müller Reads ""Orpheus plowed""","Müller liest ""Orpheus gepflügt"""
"105","130","0:00:21","0:06:48","The World is Not Bad, but Rather Full","Die Welt ist nicht schlecht, sondern voll"
"105","131","0:06:49","0:14:16","The Relationship Between Time and Space","Verhältnis von Zeit und Raum"
"105","132","0:14:17","0:24:10","Stability and Force","Stabilität von Gewalt"
"110","133","0:10:40","0:26:54","Troy","Troja"
"110","134","0:26:55","0:36:21","Modern War","Moderner Krieg"
"110","135","0:36:22","0:40:40","Nomadism","Ortlosigkeit"
"110","136","0:40:41","0:45:19","Death and Memory","Tod und Erinnerung"
"107","137","0:01:07","0:04:09","The Transfer of the Hohenzollern Sarcophagi; Images and Excerpts from Films About Friedrich II","Überführung der Hohenzollern-Sarkophage, Bilder und Ausschnitte aus Filmen über Friedrich II"
"107","138","0:04:10","0:07:59","Pictures of the King; The Hohenzollern Sarcophagi in Potsdam in 1991","Bilder des Königs, die Hohenzollern-Sarkophage in Potsdam 1991"
"107","139","0:08:00","0:11:52","Pictures and Quotations","Bilder und Zitate"
"107","140","0:11:53","0:13:31","Interview Between Günter Gaus and Hans Bentzien","Interview Günter Gaus / Hans Bentzien"
"107","141","0:13:32","0:16:22","Pictures, Citations, Film Clips, Speeches","Bilder, Zitate, Filmausschnitte, Reden"
"113","142","0:00:58","0:10:11","Oresteia","Orestie	Orestie"
"113","143","0:10:12","0:14:32","Iphigenia","Iphigenie"
